D,C1,C2,C3,C4,C5,T,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99,S100,N1,N2,N3,N4,N5
1,1.188235676,0.379195133,0.081433541,0.597585148,1.12841088,,-3.265016514,-3.490298066,-3.337148154,-3.480944511,-3.462526685,-3.386122904,-3.495425842,-3.611213991,-3.368191923,-3.128782045,-3.306393409,-3.49638021,-3.441120343,-3.394866065,-3.371542171,-3.467391679,-3.253260999,-3.440096881,-3.364640634,-3.205569452,-3.394772082,-3.161964373,-3.333609672,-3.428561408,-3.403606134,-3.436810507,-3.529667266,-3.744022303,-3.467436197,-3.590551654,-3.478605958,-3.259051789,-3.42163423,-3.212354521,-3.432303811,-3.28761597,-3.3900277,-3.419293408,-3.230586844,-3.155015413,-3.41792058,-3.486825749,-3.379900197,-3.342177269,-3.315909246,-3.363408934,-3.463779714,-3.171396484,-3.463962851,-3.393424249,-3.259892459,-3.479568857,-3.376857944,-3.315905365,-3.354791924,-3.32832508,-3.401244298,-3.346513261,-3.448908617,-3.544325713,-3.443833024,-3.37312275,-3.319018355,-3.250617443,-3.217890221,-3.525449983,-3.477773116,-3.421969544,-3.343361146,-3.383429049,-3.304649577,-3.339630024,-3.304657306,-3.521198867,-3.364924111,-3.356458393,-3.354234123,-3.378664655,-3.212586793,-3.373331593,-3.489513149,-3.489362612,-3.430008165,-3.489855232,-3.20098869,-3.226361163,-3.431021004,-3.332618075,-3.407592847,-3.398234559,-3.441910614,-3.317969717,-3.392669256,-3.414085825,-3.416444668,-3.268195895,-3.461740254,-3.435364592,-3.442184259,-3.302102253,1.610908049,0.599781404,3.24215144,0.874886957,1.088918718
1,0.043111893,0.911880695,-3.233562257,-1.721511398,1.014739143,,3.148612534,2.915971152,3.129937411,3.100994247,2.884663446,3.00720657,2.874053938,2.950451185,2.841303162,2.941793425,2.957670435,2.888238753,3.025833162,3.098585305,3.036770881,2.856217316,3.108032148,3.003420325,2.901909184,2.965924705,3.111954916,2.982524734,2.928079869,2.9722825,2.846151237,2.902033443,3.046141999,2.968047882,2.947349301,2.981250877,3.058900574,3.248478685,2.691342055,2.977579331,2.949933098,3.110258575,2.969681512,2.93492735,2.954996969,3.126006751,2.804623772,3.009661135,3.023902621,3.147682074,2.857377228,2.926102042,3.030474571,2.945239264,2.821087958,3.075802429,2.987352944,2.899708606,2.877786498,3.016332901,2.856737758,3.024117893,3.281969272,2.863360313,3.155127101,3.108434744,2.926820043,2.951809497,2.934533757,3.019479073,2.991070931,2.946721502,2.914698558,2.911989773,3.068772503,2.887404701,2.921486036,3.061000068,2.942867028,2.913333292,2.944799396,3.169081127,2.885118456,3.105438236,2.923051583,3.02275781,2.930456906,3.072957044,2.851378791,2.900665533,2.919819062,3.013581798,2.986648959,2.810385203,2.879416565,3.155761847,2.986104765,2.779421381,3.045370986,2.990153818,3.017662786,3.037822254,2.886390731,3.026373682,3.074326522,2.953709489,0.118142348,-1.640095926,1.82692967,0.603507424,0.740640534
1,0.347965865,0.436967173,-0.445344894,-1.714863653,1.204337634,,0.292273472,-0.002650358,0.235758884,0.060400319,-0.052530199,0.039947107,-0.014486135,0.312180536,0.091797067,0.21437294,0.110956032,0.335834655,0.115697114,0.19735615,0.08920506,0.240818559,0.151523686,0.225890854,0.014957964,0.214485536,0.177701475,0.003883649,-0.036576855,0.303629996,0.219321689,0.220723023,0.325879899,0.254010514,0.304000011,0.057580249,0.170641665,0.433769004,0.234877179,-0.132746972,0.192159909,0.110768645,0.078337083,0.288209435,0.122504093,0.199068337,0.096285503,0.199401461,0.235240367,0.20279846,0.13524844,0.202406192,0.372228864,0.262569555,0.140202225,0.062507912,-0.005659876,0.006779542,0.000978199,0.00823226,0.213056204,0.270287852,0.121392586,0.178345605,0.243886802,0.228549785,0.215227152,0.275627928,0.230686414,0.083000512,0.199553541,0.357191128,0.147822086,0.242307019,0.36384249,0.119317358,0.040220789,0.168188841,0.116040833,0.177107939,0.048335484,0.054817211,0.15404837,0.123410432,0.331311769,0.100290995,0.131522843,0.219424645,0.438429454,0.149286994,0.26939401,0.128985694,0.040516891,0.091434329,0.140630501,0.343676603,0.25739532,0.247820427,0.127407706,0.112542732,0.079503288,0.246748722,0.271577266,0.264425616,0.038956311,0.086483655,-0.585295659,0.015594171,1.164403013,0.151972241,1.333958845
1,0.722771191,1.258212706,-2.066519619,1.042723546,0.95826938,,-1.708978918,-1.842479577,-1.805513006,-1.928733459,-1.828534705,-1.955426994,-1.851432382,-1.926000712,-1.925566738,-1.913882165,-2.136544931,-2.036206737,-1.799973647,-1.853387508,-1.860010542,-2.048308329,-1.967188099,-1.80331047,-2.058892319,-1.987098365,-2.065983674,-1.855355832,-1.984336226,-1.791146206,-1.900205052,-1.876198902,-1.865944127,-1.765310217,-1.85057312,-1.801558469,-1.976893635,-1.985643154,-2.066673331,-1.863232054,-1.956555778,-1.927200416,-1.913532728,-1.867343799,-1.972266524,-1.88211251,-2.037457508,-1.795043263,-2.137792612,-2.024410734,-1.848931499,-1.856290534,-1.854169708,-2.046481674,-2.216050113,-1.778875167,-1.914112262,-1.85527992,-2.003670692,-1.918965152,-2.076650109,-1.9449043,-1.829409033,-2.129148933,-1.69744184,-2.052504522,-1.97769259,-1.950300795,-1.700658646,-1.939360467,-1.854807404,-2.031709292,-1.969867669,-1.911045582,-2.102620196,-2.036950715,-1.970594633,-1.866966113,-1.919759299,-1.846917586,-2.004218745,-1.787798134,-1.84787128,-1.951660348,-1.964945774,-1.96560506,-2.00824296,-1.968193621,-1.925091817,-1.893617195,-1.830773753,-1.895828728,-2.051118663,-1.930554413,-1.846437869,-1.728655085,-1.921471223,-1.920814092,-1.93068636,-1.892038245,-1.994443037,-1.820357743,-1.89081594,-1.68729251,-1.921851444,-1.834543158,0.95898487,1.387263663,-0.859398514,1.274481364,-0.791568016
1,0.572829825,0.087536045,-0.640496558,0.566867503,-0.432122149,,-0.198336763,-0.125213659,-0.096252941,0.028866836,-0.192890147,-0.196591694,-0.151763821,-0.327765339,-0.069520926,-0.160494145,-0.109260148,-0.202096397,-0.165169163,-0.091942118,-0.107808629,-0.254782876,-0.068770593,-0.133442574,-0.181258823,-0.196940683,-0.096164472,-0.261362609,-0.269425485,-0.045473177,-0.126386805,-0.106038865,-0.179453573,-0.099653785,-0.22476187,-0.10943391,-0.263249162,-0.050978874,-0.059922121,-0.185523153,-0.201562428,-0.096295716,-0.252430034,-0.21838591,-0.038954825,-0.181426816,-0.128855293,-0.287505662,-0.103111284,-0.001423261,-0.127577129,-0.029112999,-0.221910909,0.065081211,-0.162454041,-0.250419642,-0.31895251,-0.086104846,-0.038228423,-0.32974427,-0.100817837,-0.177521464,-0.04738002,-0.228840849,-0.086151707,0.037792686,-0.208812029,-0.243619334,0.037851884,-0.144564115,-0.171950687,-0.220523104,-0.035466815,-0.175985748,-0.172352282,-0.205396479,-0.149898242,-0.119328396,-0.030637234,-0.271849346,-0.195922662,0.023292313,-0.143736349,-0.091126312,-0.186416866,-0.183976692,-0.069375258,-0.184879745,-0.086324259,-0.048981991,-0.305961602,-0.147118149,-0.160991482,-0.099047574,-0.033491645,-0.200947637,-0.060034309,-0.063805057,-0.139001603,-0.127117393,-0.174135437,-0.236157027,-0.081869555,-0.123789912,-0.125475343,-0.029155742,1.425304543,-0.027848801,0.775074645,1.291327379,2.349568928
1,0.715738936,-0.453661311,-0.251376732,-0.849054493,-0.023134915,,0.800337171,0.835036974,0.622901396,0.90915741,0.762287094,0.878547691,0.701827851,0.876078647,0.884257381,0.846939171,0.838188246,0.799638478,1.00528442,0.763822759,1.034441881,0.835325369,1.011038873,0.871501065,0.94394855,0.748719013,0.691579965,0.995564553,1.01400098,0.785919354,1.040548878,0.670043745,0.86036651,0.804321116,0.848968192,0.990161008,0.692137115,0.885175976,0.703361104,0.777656081,0.90679663,0.864171009,0.879089429,0.728268051,0.98110284,0.782976155,0.95741496,0.848604118,0.953473817,1.042116877,0.845946526,1.054502342,0.928325443,0.889035498,0.743918127,0.810239985,0.899203422,0.832583496,0.901242222,0.895618501,0.751305787,0.811540415,0.996546475,0.811222675,0.73458258,0.777044092,0.939951009,0.809953588,0.725866175,0.825974716,0.918472646,0.785753712,0.910071321,0.894345782,0.880850849,0.77078248,0.745584439,0.97493829,0.928681976,0.89495778,0.897600802,0.933974859,0.8044102,0.958768874,0.831571778,0.84038175,1.021241287,0.926683285,0.794013903,0.913355308,0.826460459,0.861997578,0.890367978,0.694457794,0.816622191,0.828245513,0.877041434,0.722826794,0.706287358,0.876899288,0.97889928,0.889927777,1.117568392,0.845162324,0.852074212,0.786469815,2.02806018,0.832655809,1.684326761,0.767035972,1.718829969
1,0.037884638,1.258182515,0.129139782,-2.803432735,2.500853526,,-0.982912057,-1.194673559,-1.112671357,-1.354874562,-0.988896408,-1.043824396,-1.143327803,-1.139616856,-1.09134537,-0.917252608,-1.168397654,-1.087343299,-1.2496179,-1.024138161,-1.000768665,-1.20827178,-1.154121307,-0.992364673,-1.10011144,-1.269363317,-1.012510543,-1.159715133,-1.231127711,-1.052936074,-0.891965154,-1.110978893,-1.140829078,-1.284700979,-1.255344365,-1.334038184,-1.210927172,-1.201647785,-1.206388957,-1.14924186,-1.12901581,-1.232577579,-1.135039863,-1.060675445,-1.021889198,-1.077100121,-0.987100109,-1.272011198,-1.419948526,-1.069129528,-0.9671232,-1.273793402,-1.147892218,-1.168722745,-0.953273481,-1.072660484,-1.140277003,-1.010940783,-1.105052023,-1.20142721,-1.008758329,-1.276977877,-1.14935611,-1.156279414,-0.88042455,-1.282866693,-1.228868058,-1.038049541,-1.203615025,-1.090490491,-1.152271841,-1.196247522,-1.111018353,-1.063494067,-1.211197432,-1.244091448,-1.152696253,-1.180739686,-1.066504041,-1.111252804,-1.086182839,-1.127754829,-1.182603755,-0.973485601,-1.095456225,-1.284758615,-1.080644677,-1.26269997,-1.083394513,-0.989495364,-1.106651576,-0.907557213,-1.261466863,-1.03730923,-1.152773151,-1.230160592,-0.968843079,-1.145711152,-1.121676398,-1.126205031,-0.866193967,-1.052614518,-1.005126327,-1.20813745,-1.216924929,-1.193981796,1.901295767,0.00622027,1.713213309,1.56719372,2.349847209
1,-0.58308359,-1.655860652,1.086671926,0.864874836,-0.324316168,,0.569555723,0.50663322,0.581099245,0.738476853,0.618252075,0.416558501,0.755430118,0.452882322,0.732673763,0.602324049,0.875082876,0.780279392,0.677510749,0.607750825,0.75998527,0.625934952,0.668524852,0.630971953,0.543803075,0.646618658,0.532514922,0.687405731,0.611584922,0.557373198,0.543564695,0.783262706,0.502328226,0.643424656,0.493921775,0.655995941,0.578296557,0.620353186,0.569673114,0.403272985,0.646839142,0.639204684,0.504579798,0.617825262,0.640255087,0.650398222,0.61814291,0.540746947,0.691019991,0.645023638,0.417352353,0.566530871,0.676953136,0.782369099,0.632481411,0.483384756,0.443834365,0.61973893,0.594753784,0.648012412,0.500383921,0.634470307,0.60264919,0.517690797,0.770490853,0.69776008,0.59860223,0.47686851,0.660577001,0.543357001,0.678113574,0.652440225,0.508886066,0.608634721,0.709253151,0.45421788,0.645565109,0.778730408,0.50282106,0.437578682,0.881727245,0.379269253,0.603906147,0.730726271,0.746252482,0.641660338,0.761761276,0.588515466,0.564561951,0.625285545,0.652277515,0.657116692,0.5159758,0.620573049,0.505932307,0.595439373,0.670957238,0.665391853,0.807248561,0.560059,0.717187292,0.813641075,0.842660991,0.716921458,0.472156265,0.51272044,-0.177359966,-0.909944171,0.845485455,0.350056564,-0.436339213
1,-1.216290774,0.262187288,-0.397729509,0.045984998,0.071015604,,1.148248861,1.248431522,1.42657895,1.220778705,1.159014149,1.357853676,1.186850664,1.33683589,1.198710412,1.326117084,1.261897137,1.205557179,1.092215024,1.23985034,1.107216576,1.272021568,1.328988193,1.291865005,1.230404509,1.229272073,1.307321422,1.174064741,1.253761895,1.096453764,1.161698138,1.260024466,1.100871313,1.254767478,1.299718857,1.164651062,1.268793888,1.09942756,1.280001129,1.188817443,1.138093979,1.198568504,1.115748896,1.311452479,1.247476864,1.338586256,1.053953798,1.324147505,1.071064724,1.229261611,1.474175329,1.075320841,1.234675176,1.129087007,1.175735467,1.134561255,0.968603726,1.286101341,1.236514742,1.140379163,1.359695198,1.28827771,1.235162962,1.288222748,1.288913501,1.230709491,1.279286276,1.258719835,1.196961361,1.163481072,1.166067833,1.143599797,1.218699812,1.285789781,1.325119719,1.255643343,1.344527322,1.119446473,1.340423114,1.33276973,1.093749727,1.117591099,1.167481859,1.282711587,1.00739168,1.26062613,1.290678344,1.418310339,1.382546674,1.192593088,1.172641596,1.347618165,1.361163846,1.28837688,1.112746336,1.230972781,1.17847106,1.111711506,1.263037436,1.144744693,1.462638845,1.130187512,0.996140365,1.253916906,1.387398885,1.250885255,1.643016584,2.265313877,0.035624743,1.967018816,0.929085364
1,-1.911716049,-0.565950952,-0.460062819,-0.087124967,0.024410125,,2.947273001,2.893348705,2.855857076,2.940998156,2.897652992,3.018470746,2.98500186,3.00746602,2.910820408,2.981393909,3.096377661,2.821479409,2.915223888,2.968567198,2.954787499,3.150672861,2.835643817,2.707871088,3.11660831,2.851812416,2.920684576,3.031514698,3.126105452,2.928598152,2.937178952,2.876990155,3.002782802,3.150750528,2.936321928,2.909570153,2.986543506,3.056092425,3.081790769,2.981827445,3.157987362,3.061383299,3.001425263,2.997380528,2.789432579,2.939559582,2.896087687,2.973665719,2.912095444,2.858047541,3.086658719,2.827904149,3.241016427,2.890394415,2.991751261,2.858842572,2.902052077,3.08052027,2.924644942,2.932697875,3.097472162,3.191806081,2.958803075,2.807073347,2.964658997,2.973295214,2.996222171,3.061688724,3.081813232,2.917897819,3.010358257,3.015625428,3.177269767,3.089532376,2.935176831,2.87589923,2.952830678,3.005567105,2.973176445,2.908896032,2.912779098,3.09198593,2.811273117,3.123763041,3.003460619,2.917193665,3.003050758,3.095867671,3.026121716,2.941351371,2.953993961,2.977029719,3.045724903,2.839555141,2.946283282,2.992613559,2.99754096,2.96038015,3.010242488,2.799050278,2.82104423,3.142263077,2.995066183,2.982699387,2.822424106,2.791859998,0.53256459,-0.308880869,2.497600151,1.546694746,3.230376966
